Transaction-ID,Date,Location,Product_Category,Sales_Channel,Units_Sold,Unit_Price_USD,Discount_Applied_Pct,Total_Revenue_USD
TRX-11948,2025-03-09 02:42:49.553295,Busan,Smartphones,Online,2,208.72,0,417.44
TRX-10063,2025-03-09 02:42:49.553295,Busan,Tablets,Online,6,1035.88,0,6215.28
TRX-13330,2025-03-09 02:42:49.553295,Busan,Tablets,Retail Store,4,910.96,0,3643.84
TRX-11289,2025-03-09 02:42:49.553295,Seoul,Tablets,Authorized Reseller,4,1816.39,20,5812.45
TRX-11864,2025-03-10 02:42:49.553295,Seoul,Wearables,Online,3,1104.02,10,2980.85
TRX-13930,2025-03-10 02:42:49.553295,Seoul,Laptops,Online,9,1189.65,0,10706.85
TRX-14489,2025-03-10 02:42:49.553295,Busan,Smartphones,Retail Store,5,150.62,10,677.79
TRX-12124,2025-03-10 02:42:49.553295,Daejeon,Wearables,Authorized Reseller,9,375.92,0,3383.28
TRX-10895,2025-03-10 02:42:49.553295,Incheon,Wearables,Retail Store,3,1119.55,5,3190.72
TRX-11577,2025-03-10 02:42:49.553295,Daegu,Wearables,Authorized Reseller,9,1207.51,0,10867.59
TRX-14687,2025-03-10 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,7,919.29,0,6435.03
TRX-14845,2025-03-10 02:42:49.553295,Busan,Accessories,Online,9,1298.56,0,11687.04
TRX-12677,2025-03-10 02:42:49.553295,Seoul,Smartphones,Online,9,315.65,0,2840.85
TRX-14131,2025-03-10 02:42:49.553295,Seoul,Wearables,Retail Store,5,327.44,0,1637.2
TRX-12731,2025-03-10 02:42:49.553295,Busan,Smartphones,Retail Store,7,75.7,0,529.9
TRX-13769,2025-03-10 02:42:49.553295,Daegu,Tablets,Retail Store,9,1992.29,0,17930.61
TRX-11518,2025-03-10 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,6,1537.02,15,7838.8
TRX-14205,2025-03-10 02:42:49.553295,Seoul,Wearables,Online,1,172.58,20,138.06
TRX-12657,2025-03-10 02:42:49.553295,Busan,Wearables,Authorized Reseller,9,209.69,5,1792.85
TRX-12321,2025-03-10 02:42:49.553295,Incheon,Wearables,Authorized Reseller,7,850.91,0,5956.37
TRX-11486,2025-03-11 02:42:49.553295,Incheon,Tablets,Retail Store,3,1813.21,5,5167.65
TRX-10968,2025-03-11 02:42:49.553295,Seoul,Wearables,Retail Store,7,1809.48,0,12666.36
TRX-12728,2025-03-11 02:42:49.553295,Seoul,Wearables,Online,1,237.41,0,237.41
TRX-11328,2025-03-11 02:42:49.553295,Seoul,Tablets,Online,8,1726.54,0,13812.32
TRX-10948,2025-03-11 02:42:49.553295,Busan,Tablets,Retail Store,7,1332.63,10,8395.57
TRX-11911,2025-03-11 02:42:49.553295,Seoul,Tablets,Online,6,1520.22,10,8209.19
TRX-10325,2025-03-11 02:42:49.553295,Daegu,Wearables,Online,4,1594.86,5,6060.47
TRX-14104,2025-03-11 02:42:49.553295,Seoul,Accessories,Online,3,1590.52,0,4771.56
TRX-11723,2025-03-11 02:42:49.553295,Busan,Smartphones,Authorized Reseller,4,508.37,0,2033.48
TRX-13077,2025-03-11 02:42:49.553295,Incheon,Accessories,Online,3,490.62,0,1471.86
TRX-10496,2025-03-11 02:42:49.553295,Incheon,Accessories,Retail Store,3,883.74,20,2120.98
TRX-13866,2025-03-11 02:42:49.553295,Seoul,Tablets,Authorized Reseller,2,559.8,10,1007.64
TRX-12281,2025-03-12 02:42:49.553295,Seoul,Smartphones,Retail Store,9,764.7,0,6882.3
TRX-10415,2025-03-12 02:42:49.553295,Seoul,Tablets,Authorized Reseller,8,382.68,15,2602.22
TRX-13907,2025-03-12 02:42:49.553295,Seoul,Wearables,Online,4,928.58,0,3714.32
TRX-14797,2025-03-12 02:42:49.553295,Busan,Accessories,Online,1,1171.4,0,1171.4
TRX-12909,2025-03-12 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,8,1143.44,0,9147.52
TRX-12330,2025-03-12 02:42:49.553295,Incheon,Tablets,Online,3,1082.59,15,2760.6
TRX-10842,2025-03-12 02:42:49.553295,Seoul,Tablets,Authorized Reseller,3,940.15,10,2538.4
TRX-11561,2025-03-12 02:42:49.553295,Busan,Smartphones,Online,6,1015.65,0,6093.9
TRX-11044,2025-03-12 02:42:49.553295,Daejeon,Tablets,Online,9,484.75,0,4362.75
TRX-12051,2025-03-12 02:42:49.553295,Seoul,Tablets,Online,6,1891.05,10,10211.67
TRX-10613,2025-03-12 02:42:49.553295,Busan,Wearables,Retail Store,5,1225.39,0,6126.95
TRX-11091,2025-03-12 02:42:49.553295,Incheon,Accessories,Retail Store,6,465.2,0,2791.2
TRX-10720,2025-03-12 02:42:49.553295,Seoul,Accessories,Retail Store,8,1228.42,0,9827.36
TRX-10128,2025-03-12 02:42:49.553295,Seoul,Laptops,Authorized Reseller,2,206.37,10,371.47
TRX-12431,2025-03-12 02:42:49.553295,Daegu,Smartphones,Online,9,1108.9,10,8982.09
TRX-14270,2025-03-12 02:42:49.553295,Seoul,Laptops,Authorized Reseller,5,1770.78,10,7968.51
TRX-13494,2025-03-12 02:42:49.553295,Seoul,Accessories,Retail Store,4,1412.52,0,5650.08
TRX-13477,2025-03-12 02:42:49.553295,Daegu,Tablets,Authorized Reseller,1,409.72,15,348.26
TRX-14663,2025-03-13 02:42:49.553295,Seoul,Laptops,Retail Store,5,550.05,5,2612.74
TRX-10934,2025-03-13 02:42:49.553295,Daejeon,Laptops,Retail Store,3,1583.56,0,4750.68
TRX-13931,2025-03-13 02:42:49.553295,Seoul,Accessories,Online,1,580.85,15,493.72
TRX-14537,2025-03-13 02:42:49.553295,Busan,Laptops,Authorized Reseller,7,937.46,15,5577.89
TRX-10741,2025-03-13 02:42:49.553295,Busan,Wearables,Retail Store,9,1254.69,0,11292.21
TRX-10334,2025-03-13 02:42:49.553295,Incheon,Accessories,Authorized Reseller,1,1176.51,0,1176.51
TRX-10964,2025-03-13 02:42:49.553295,Seoul,Smartphones,Retail Store,4,1595.09,0,6380.36
TRX-14308,2025-03-13 02:42:49.553295,Seoul,Laptops,Authorized Reseller,7,1916.18,5,12742.6
TRX-12862,2025-03-14 02:42:49.553295,Busan,Smartphones,Online,3,869.56,0,2608.68
TRX-12467,2025-03-14 02:42:49.553295,Seoul,Tablets,Authorized Reseller,2,1612.73,0,3225.46
TRX-14616,2025-03-14 02:42:49.553295,Busan,Tablets,Retail Store,8,1165.32,0,9322.56
TRX-12381,2025-03-14 02:42:49.553295,Seoul,Smartphones,Retail Store,8,1906.08,10,13723.78
TRX-11714,2025-03-14 02:42:49.553295,Busan,Smartphones,Retail Store,7,1997.62,5,13284.17
TRX-11462,2025-03-14 02:42:49.553295,Seoul,Accessories,Online,7,1663.87,20,9317.67
TRX-13379,2025-03-14 02:42:49.553295,Seoul,Laptops,Authorized Reseller,3,1031.73,0,3095.19
TRX-10605,2025-03-14 02:42:49.553295,Busan,Wearables,Retail Store,5,664.2,0,3321.0
TRX-14372,2025-03-14 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,6,510.77,0,3064.62
TRX-11650,2025-03-14 02:42:49.553295,Incheon,Smartphones,Online,8,1114.95,0,8919.6
TRX-11277,2025-03-14 02:42:49.553295,Daegu,Smartphones,Online,4,779.81,5,2963.28
TRX-10894,2025-03-14 02:42:49.553295,Seoul,Laptops,Online,4,1420.39,5,5397.48
TRX-14253,2025-03-14 02:42:49.553295,Daejeon,Accessories,Online,3,1475.72,0,4427.16
TRX-11859,2025-03-14 02:42:49.553295,Busan,Smartphones,Authorized Reseller,2,377.37,5,717.0
TRX-14945,2025-03-14 02:42:49.553295,Daejeon,Accessories,Online,2,329.57,0,659.14
TRX-13836,2025-03-14 02:42:49.553295,Incheon,Laptops,Retail Store,8,744.02,0,5952.16
TRX-12966,2025-03-15 02:42:49.553295,Seoul,Accessories,Retail Store,6,1467.9,0,8807.4
TRX-13977,2025-03-15 02:42:49.553295,Daejeon,Accessories,Authorized Reseller,9,581.51,5,4971.91
TRX-13933,2025-03-15 02:42:49.553295,Incheon,Tablets,Authorized Reseller,7,602.51,20,3374.06
TRX-12989,2025-03-15 02:42:49.553295,Seoul,Tablets,Online,4,569.14,10,2048.9
TRX-10687,2025-03-15 02:42:49.553295,Busan,Smartphones,Online,3,73.59,0,220.77
TRX-11250,2025-03-15 02:42:49.553295,Busan,Laptops,Online,6,1364.79,10,7369.87
TRX-11941,2025-03-15 02:42:49.553295,Busan,Wearables,Authorized Reseller,2,1627.87,0,3255.74
TRX-13181,2025-03-15 02:42:49.553295,Busan,Smartphones,Online,9,443.08,5,3788.33
TRX-12044,2025-03-15 02:42:49.553295,Daejeon,Accessories,Authorized Reseller,9,468.31,10,3793.31
TRX-13288,2025-03-15 02:42:49.553295,Daejeon,Laptops,Retail Store,8,286.85,0,2294.8
TRX-11764,2025-03-15 02:42:49.553295,Busan,Accessories,Retail Store,6,1443.28,0,8659.68
TRX-13475,2025-03-15 02:42:49.553295,Seoul,Wearables,Authorized Reseller,2,828.44,0,1656.88
TRX-13980,2025-03-15 02:42:49.553295,Busan,Smartphones,Authorized Reseller,9,1743.65,0,15692.85
TRX-10875,2025-03-15 02:42:49.553295,Busan,Accessories,Retail Store,9,1173.53,0,10561.77
TRX-12565,2025-03-15 02:42:49.553295,Daegu,Wearables,Authorized Reseller,1,667.1,5,633.74
TRX-14935,2025-03-15 02:42:49.553295,Seoul,Accessories,Online,9,1405.32,0,12647.88
TRX-14743,2025-03-15 02:42:49.553295,Busan,Smartphones,Authorized Reseller,3,1759.15,5,5013.58
TRX-10828,2025-03-15 02:42:49.553295,Incheon,Tablets,Authorized Reseller,1,382.45,0,382.45
TRX-12543,2025-03-15 02:42:49.553295,Busan,Wearables,Online,8,1213.72,0,9709.76
TRX-11319,2025-03-16 02:42:49.553295,Seoul,Wearables,Online,3,1545.87,0,4637.61
TRX-14166,2025-03-16 02:42:49.553295,Daejeon,Accessories,Online,8,1467.75,0,11742.0
TRX-12203,2025-03-16 02:42:49.553295,Seoul,Accessories,Authorized Reseller,7,1347.39,0,9431.73
TRX-10097,2025-03-16 02:42:49.553295,Seoul,Laptops,Online,1,1699.3,5,1614.33
TRX-11597,2025-03-16 02:42:49.553295,Busan,Tablets,Authorized Reseller,6,415.63,20,1995.02
TRX-11783,2025-03-16 02:42:49.553295,Daejeon,Laptops,Retail Store,5,1929.64,0,9648.2
TRX-10601,2025-03-16 02:42:49.553295,Seoul,Laptops,Retail Store,1,1148.07,15,975.86
TRX-11843,2025-03-16 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,8,1176.28,20,7528.19
TRX-10269,2025-03-16 02:42:49.553295,Daejeon,Laptops,Online,9,208.95,0,1880.55
TRX-11567,2025-03-16 02:42:49.553295,Busan,Wearables,Online,8,1362.58,0,10900.64
TRX-13651,2025-03-17 02:42:49.553295,Daejeon,Wearables,Authorized Reseller,4,1358.13,0,5432.52
TRX-12683,2025-03-17 02:42:49.553295,Seoul,Laptops,Authorized Reseller,1,1291.16,0,1291.16
TRX-14168,2025-03-17 02:42:49.553295,Busan,Tablets,Retail Store,1,909.96,0,909.96
TRX-10714,2025-03-17 02:42:49.553295,Busan,Wearables,Authorized Reseller,9,1180.47,0,10624.23
TRX-12601,2025-03-17 02:42:49.553295,Seoul,Tablets,Retail Store,5,904.64,15,3844.72
TRX-11972,2025-03-17 02:42:49.553295,Busan,Wearables,Online,6,359.17,0,2155.02
TRX-11003,2025-03-17 02:42:49.553295,Busan,Accessories,Authorized Reseller,9,1745.44,0,15708.96
TRX-14015,2025-03-17 02:42:49.553295,Incheon,Wearables,Retail Store,8,1767.33,5,13431.71
TRX-10484,2025-03-17 02:42:49.553295,Seoul,Tablets,Online,8,1533.06,5,11651.26
TRX-11090,2025-03-17 02:42:49.553295,Daejeon,Smartphones,Authorized Reseller,7,1706.35,10,10750.0
TRX-12205,2025-03-17 02:42:49.553295,Busan,Accessories,Retail Store,1,1532.41,20,1225.93
TRX-12524,2025-03-17 02:42:49.553295,Daegu,Wearables,Online,1,1988.76,0,1988.76
TRX-14577,2025-03-18 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,3,784.52,0,2353.56
TRX-12240,2025-03-18 02:42:49.553295,Seoul,Laptops,Online,1,946.56,0,946.56
TRX-13725,2025-03-18 02:42:49.553295,Busan,Wearables,Retail Store,5,724.15,5,3439.71
TRX-11292,2025-03-18 02:42:49.553295,Incheon,Accessories,Retail Store,1,1691.3,0,1691.3
TRX-11801,2025-03-18 02:42:49.553295,Daejeon,Tablets,Online,9,1863.47,0,16771.23
TRX-14975,2025-03-18 02:42:49.553295,Seoul,Smartphones,Online,7,196.84,0,1377.88
TRX-11379,2025-03-18 02:42:49.553295,Seoul,Accessories,Online,9,438.54,0,3946.86
TRX-13942,2025-03-18 02:42:49.553295,Incheon,Tablets,Retail Store,8,1874.12,0,14992.96
TRX-11538,2025-03-18 02:42:49.553295,Busan,Wearables,Online,3,140.81,0,422.43
TRX-11122,2025-03-18 02:42:49.553295,Daegu,Smartphones,Online,3,857.92,5,2445.07
TRX-12600,2025-03-18 02:42:49.553295,Seoul,Laptops,Retail Store,9,1689.32,15,12923.3
TRX-11700,2025-03-19 02:42:49.553295,Busan,Accessories,Online,9,217.26,0,1955.34
TRX-12412,2025-03-19 02:42:49.553295,Seoul,Tablets,Authorized Reseller,4,1500.09,10,5400.32
TRX-14263,2025-03-19 02:42:49.553295,Seoul,Accessories,Authorized Reseller,6,774.93,5,4417.1
TRX-10681,2025-03-19 02:42:49.553295,Daegu,Accessories,Authorized Reseller,8,1950.04,0,15600.32
TRX-13840,2025-03-19 02:42:49.553295,Seoul,Wearables,Online,1,1844.06,0,1844.06
TRX-10518,2025-03-19 02:42:49.553295,Daegu,Laptops,Authorized Reseller,8,704.91,0,5639.28
TRX-12368,2025-03-19 02:42:49.553295,Seoul,Laptops,Authorized Reseller,5,183.66,0,918.3
TRX-12133,2025-03-19 02:42:49.553295,Daegu,Wearables,Authorized Reseller,3,815.39,0,2446.17
TRX-10851,2025-03-19 02:42:49.553295,Busan,Smartphones,Authorized Reseller,2,373.51,0,747.02
TRX-12999,2025-03-19 02:42:49.553295,Seoul,Laptops,Retail Store,3,1780.59,0,5341.77
TRX-13498,2025-03-19 02:42:49.553295,Busan,Wearables,Retail Store,4,83.14,15,282.68
TRX-12695,2025-03-19 02:42:49.553295,Seoul,Smartphones,Retail Store,2,308.75,0,617.5
TRX-11667,2025-03-19 02:42:49.553295,Daejeon,Smartphones,Authorized Reseller,6,296.61,15,1512.71
TRX-11870,2025-03-19 02:42:49.553295,Seoul,Accessories,Online,4,993.91,0,3975.64
TRX-12020,2025-03-19 02:42:49.553295,Daegu,Laptops,Retail Store,5,172.4,5,818.9
TRX-11433,2025-03-19 02:42:49.553295,Incheon,Accessories,Retail Store,5,733.27,5,3483.03
TRX-12318,2025-03-19 02:42:49.553295,Daegu,Smartphones,Retail Store,2,848.64,0,1697.28
TRX-11872,2025-03-19 02:42:49.553295,Daejeon,Wearables,Authorized Reseller,7,1250.89,5,8318.42
TRX-11754,2025-03-19 02:42:49.553295,Seoul,Laptops,Online,9,307.25,5,2626.99
TRX-11423,2025-03-19 02:42:49.553295,Busan,Tablets,Online,2,547.25,10,985.05
TRX-13667,2025-03-19 02:42:49.553295,Seoul,Tablets,Online,3,600.49,5,1711.4
TRX-12484,2025-03-20 02:42:49.553295,Busan,Accessories,Online,7,562.39,0,3936.73
TRX-11670,2025-03-20 02:42:49.553295,Daejeon,Tablets,Online,7,769.05,0,5383.35
TRX-10378,2025-03-20 02:42:49.553295,Seoul,Laptops,Authorized Reseller,7,737.66,15,4389.08
TRX-13542,2025-03-20 02:42:49.553295,Busan,Smartphones,Authorized Reseller,6,1022.83,0,6136.98
TRX-10554,2025-03-20 02:42:49.553295,Daegu,Wearables,Online,8,1832.3,10,13192.56
TRX-13621,2025-03-20 02:42:49.553295,Daegu,Laptops,Online,1,1757.97,0,1757.97
TRX-10151,2025-03-20 02:42:49.553295,Busan,Wearables,Authorized Reseller,1,1087.43,15,924.32
TRX-11007,2025-03-20 02:42:49.553295,Busan,Smartphones,Authorized Reseller,6,1729.22,10,9337.79
TRX-13721,2025-03-20 02:42:49.553295,Busan,Smartphones,Authorized Reseller,8,1226.65,0,9813.2
TRX-14238,2025-03-20 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,5,1674.63,5,7954.49
TRX-10916,2025-03-20 02:42:49.553295,Busan,Wearables,Authorized Reseller,6,705.64,0,4233.84
TRX-13793,2025-03-20 02:42:49.553295,Incheon,Laptops,Retail Store,4,1465.11,0,5860.44
TRX-13781,2025-03-20 02:42:49.553295,Daejeon,Tablets,Online,5,1611.88,0,8059.4
TRX-13748,2025-03-20 02:42:49.553295,Seoul,Accessories,Online,4,580.8,10,2090.88
TRX-14923,2025-03-20 02:42:49.553295,Seoul,Smartphones,Retail Store,4,383.33,0,1533.32
TRX-12689,2025-03-20 02:42:49.553295,Seoul,Laptops,Online,2,1751.96,0,3503.92
TRX-10050,2025-03-21 02:42:49.553295,Busan,Laptops,Retail Store,2,1285.38,5,2442.22
TRX-12730,2025-03-21 02:42:49.553295,Daegu,Smartphones,Online,7,237.3,5,1578.04
TRX-11869,2025-03-21 02:42:49.553295,Seoul,Tablets,Online,6,1444.83,0,8668.98
TRX-10885,2025-03-21 02:42:49.553295,Seoul,Accessories,Retail Store,5,1001.13,0,5005.65
TRX-12382,2025-03-21 02:42:49.553295,Daejeon,Tablets,Authorized Reseller,1,699.76,0,699.76
TRX-13656,2025-03-21 02:42:49.553295,Busan,Accessories,Authorized Reseller,2,1507.28,0,3014.56
TRX-10891,2025-03-21 02:42:49.553295,Seoul,Wearables,Online,2,1184.48,20,1895.17
TRX-11946,2025-03-21 02:42:49.553295,Daegu,Laptops,Online,6,1448.08,10,7819.63
TRX-14290,2025-03-21 02:42:49.553295,Busan,Smartphones,Retail Store,4,1513.78,0,6055.12
TRX-11472,2025-03-21 02:42:49.553295,Incheon,Laptops,Retail Store,2,1872.45,0,3744.9
TRX-12470,2025-03-21 02:42:49.553295,Seoul,Accessories,Authorized Reseller,2,969.29,5,1841.65
TRX-11057,2025-03-21 02:42:49.553295,Seoul,Tablets,Authorized Reseller,8,1212.93,15,8247.92
TRX-11318,2025-03-21 02:42:49.553295,Incheon,Laptops,Retail Store,4,555.42,5,2110.6
TRX-14880,2025-03-21 02:42:49.553295,Seoul,Laptops,Online,3,1897.11,0,5691.33
TRX-10675,2025-03-21 02:42:49.553295,Seoul,Accessories,Authorized Reseller,6,289.59,0,1737.54
TRX-12697,2025-03-21 02:42:49.553295,Daejeon,Wearables,Retail Store,6,1417.3,0,8503.8
TRX-11955,2025-03-21 02:42:49.553295,Daejeon,Laptops,Retail Store,1,877.31,0,877.31
TRX-11748,2025-03-22 02:42:49.553295,Seoul,Wearables,Authorized Reseller,9,1140.32,0,10262.88
TRX-10903,2025-03-22 02:42:49.553295,Incheon,Laptops,Authorized Reseller,1,1609.73,10,1448.76
TRX-13915,2025-03-22 02:42:49.553295,Seoul,Wearables,Retail Store,5,778.1,10,3501.45
TRX-11775,2025-03-22 02:42:49.553295,Daegu,Wearables,Online,8,1825.68,0,14605.44
TRX-11103,2025-03-22 02:42:49.553295,Incheon,Wearables,Online,4,403.43,15,1371.66
TRX-11077,2025-03-22 02:42:49.553295,Seoul,Smartphones,Retail Store,3,293.44,0,880.32
TRX-11485,2025-03-22 02:42:49.553295,Daegu,Accessories,Authorized Reseller,5,1228.53,0,6142.65
TRX-13188,2025-03-22 02:42:49.553295,Daegu,Wearables,Retail Store,8,1603.61,15,10904.55
TRX-10092,2025-03-22 02:42:49.553295,Seoul,Wearables,Retail Store,5,1393.54,0,6967.7
TRX-10134,2025-03-22 02:42:49.553295,Seoul,Tablets,Authorized Reseller,7,1066.51,15,6345.73
TRX-10497,2025-03-23 02:42:49.553295,Seoul,Smartphones,Authorized Reseller,1,294.0,10,264.6
TRX-13001,2025-03-23 02:42:49.553295,Seoul,Accessories,Retail Store,9,89.53,0,805.77
TRX-11490,2025-03-23 02:42:49.553295,Daejeon,Smartphones,Retail Store,1,882.32,0,882.32
TRX-13612,2025-03-23 02:42:49.553295,Incheon,Tablets,Authorized Reseller,5,1802.93,0,9014.65
TRX-13161,2025-03-23 02:42:49.553295,Incheon,Accessories,Authorized Reseller,7,1107.7,0,7753.9
TRX-14742,2025-03-23 02:42:49.553295,Busan,Wearables,Online,2,744.22,0,1488.44
TRX-14152,2025-03-23 02:42:49.553295,Incheon,Tablets,Retail Store,1,410.24,5,389.73
TRX-11454,2025-03-23 02:42:49.553295,Incheon,Accessories,Retail Store,7,1758.23,0,12307.61
TRX-13753,2025-03-23 02:42:49.553295,Seoul,Laptops,Retail Store,6,1861.88,0,11171.28
TRX-13841,2025-03-23 02:42:49.553295,Seoul,Wearables,Online,5,930.09,0,4650.45
TRX-14423,2025-03-23 02:42:49.553295,Daegu,Laptops,Retail Store,4,1707.72,10,6147.79
TRX-12550,2025-03-24 02:42:49.553295,Seoul,Laptops,Authorized Reseller,6,579.44,15,2955.14
TRX-11183,2025-03-24 02:42:49.553295,Daejeon,Accessories,Authorized Reseller,2,479.19,5,910.46
TRX-12516,2025-03-24 02:42:49.553295,Busan,Wearables,Retail Store,3,1779.05,0,5337.15
TRX-11344,2025-03-24 02:42:49.553295,Seoul,Tablets,Retail Store,5,1455.84,15,6187.32
TRX-11699,2025-03-24 02:42:49.553295,Busan,Wearables,Online,2,788.54,5,1498.23
TRX-12902,2025-03-24 02:42:49.553295,Busan,Accessories,Retail Store,7,1242.76,0,8699.32
TRX-10329,2025-03-24 02:42:49.553295,Seoul,Accessories,Authorized Reseller,7,899.29,0,6295.03
TRX-14306,2025-03-24 02:42:49.553295,Busan,Tablets,Online,7,1961.95,0,13733.65
TRX-14624,2025-03-24 02:42:49.553295,Busan,Wearables,Authorized Reseller,6,403.07,0,2418.42
TRX-13260,2025-03-24 02:42:49.553295,Busan,Accessories,Authorized Reseller,5,1676.28,0,8381.4
TRX-13500,2025-03-24 02:42:49.553295,Busan,Laptops,Retail Store,5,821.97,0,4109.85
TRX-14038,2025-03-24 02:42:49.553295,Seoul,Wearables,Authorized Reseller,4,204.57,0,818.28
TRX-11428,2025-03-24 02:42:49.553295,Seoul,Smartphones,Retail Store,1,1293.72,0,1293.72
TRX-13804,2025-03-24 02:42:49.553295,Incheon,Laptops,Authorized Reseller,8,1670.03,10,12024.22
TRX-13879,2025-03-24 02:42:49.553295,Daegu,Tablets,Retail Store,6,1033.47,10,5580.74
TRX-11408,2025-03-24 02:42:49.553295,Daegu,Laptops,Authorized Reseller,8,542.11,10,3903.19
TRX-11675,2025-03-24 02:42:49.553295,Seoul,Accessories,Authorized Reseller,3,562.37,0,1687.11
TRX-14610,2025-03-24 02:42:49.553295,Daejeon,Smartphones,Online,3,374.95,20,899.88
TRX-14562,2025-03-25 02:42:49.553295,Seoul,Tablets,Authorized Reseller,1,580.21,10,522.19
TRX-11227,2025-03-25 02:42:49.553295,Daejeon,Tablets,Online,6,801.25,0,4807.5
TRX-11935,2025-03-25 02:42:49.553295,Seoul,Smartphones,Retail Store,3,500.67,0,1502.01
TRX-12623,2025-03-25 02:42:49.553295,Incheon,Accessories,Authorized Reseller,2,463.78,0,927.56
TRX-10352,2025-03-25 02:42:49.553295,Daejeon,Laptops,Online,6,395.06,0,2370.36
TRX-14469,2025-03-25 02:42:49.553295,Daejeon,Smartphones,Retail Store,9,704.8,0,6343.2
TRX-13278,2025-03-26 02:42:49.553295,Seoul,Accessories,Retail Store,1,850.11,0,850.11
TRX-12219,2025-03-26 02:42:49.553295,Incheon,Smartphones,Online,5,1387.18,10,6242.31
TRX-14279,2025-03-26 02:42:49.553295,Busan,Laptops,Authorized Reseller,5,1475.85,15,6272.36
TRX-11226,2025-03-26 02:42:49.553295,Busan,Accessories,Authorized Reseller,4,747.28,10,2690.21
TRX-13568,2025-03-26 02:42:49.553295,Daejeon,Wearables,Retail Store,4,1285.35,0,5141.4
TRX-10636,2025-03-26 02:42:49.553295,Seoul,Tablets,Retail Store,3,1435.35,0,4306.05
TRX-12756,2025-03-26 02:42:49.553295,Seoul,Wearables,Authorized Reseller,5,1432.4,0,7162.0
TRX-10566,2025-03-26 02:42:49.553295,Busan,Wearables,Authorized Reseller,1,1552.57,0,1552.57
TRX-14592,2025-03-26 02:42:49.553295,Seoul,Smartphones,Retail Store,9,300.04,10,2430.32
TRX-13961,2025-03-26 02:42:49.553295,Seoul,Tablets,Retail Store,8,164.35,0,1314.8
TRX-12660,2025-03-26 02:42:49.553295,Incheon,Wearables,Retail Store,2,770.05,15,1309.08
TRX-12097,2025-03-26 02:42:49.553295,Busan,Wearables,Authorized Reseller,5,1949.54,15,8285.54
TRX-14856,2025-03-26 02:42:49.553295,Busan,Accessories,Authorized Reseller,6,1555.35,0,9332.1
TRX-12259,2025-03-26 02:42:49.553295,Daejeon,Smartphones,Retail Store,5,1783.35,0,8916.75
